**********
SEED 1
**********
Iteration 1	 Training error: 0.285917
Iteration 78	 Training error: 0.232173
Iteration 79	 Training error: 0.231526
Iteration 80	 Training error: 0.230854
Iteration 81	 Training error: 0.230156
Iteration 82	 Training error: 0.229432
Iteration 83	 Training error: 0.22868
Iteration 84	 Training error: 0.227899
Iteration 85	 Training error: 0.227088
Iteration 86	 Training error: 0.226246
Iteration 87	 Training error: 0.225372
Iteration 88	 Training error: 0.224464
Iteration 89	 Training error: 0.223521
Iteration 90	 Training error: 0.222541
Iteration 91	 Training error: 0.221523
Iteration 92	 Training error: 0.220467
Iteration 93	 Training error: 0.219369
Iteration 94	 Training error: 0.218229
Iteration 95	 Training error: 0.217045
Iteration 96	 Training error: 0.215815
Iteration 97	 Training error: 0.214537
Iteration 98	 Training error: 0.21321
Iteration 99	 Training error: 0.211832
Iteration 100	 Training error: 0.210402
Iteration 101	 Training error: 0.208916
Iteration 102	 Training error: 0.207373
Iteration 103	 Training error: 0.205772
Iteration 104	 Training error: 0.20411
Iteration 105	 Training error: 0.202385
Iteration 106	 Training error: 0.200595
Iteration 107	 Training error: 0.198737
Iteration 108	 Training error: 0.196811
Iteration 109	 Training error: 0.194814
Iteration 110	 Training error: 0.192743
Iteration 111	 Training error: 0.190598
Iteration 112	 Training error: 0.188375
Iteration 113	 Training error: 0.186074
Iteration 114	 Training error: 0.183693
Iteration 115	 Training error: 0.181231
Iteration 116	 Training error: 0.178685
Iteration 117	 Training error: 0.176057
Iteration 118	 Training error: 0.173344
Iteration 119	 Training error: 0.170547
Iteration 120	 Training error: 0.167666
Iteration 121	 Training error: 0.164701
Iteration 122	 Training error: 0.161654
Iteration 123	 Training error: 0.158526
Iteration 124	 Training error: 0.15532
Iteration 125	 Training error: 0.152038
Iteration 126	 Training error: 0.148684
Iteration 127	 Training error: 0.145263
Iteration 128	 Training error: 0.141778
Iteration 129	 Training error: 0.138237
Iteration 130	 Training error: 0.134645
Iteration 131	 Training error: 0.131009
Iteration 132	 Training error: 0.127338
Iteration 133	 Training error: 0.12364
Iteration 134	 Training error: 0.119924
Iteration 135	 Training error: 0.116199
Iteration 136	 Training error: 0.112474
Iteration 137	 Training error: 0.108761
Iteration 138	 Training error: 0.105069
Iteration 139	 Training error: 0.101407
Iteration 140	 Training error: 0.0977858
Iteration 141	 Training error: 0.0942144
Iteration 142	 Training error: 0.0907018
Iteration 143	 Training error: 0.0872563
Iteration 144	 Training error: 0.0838854
Iteration 145	 Training error: 0.080596
Iteration 146	 Training error: 0.0773941
Iteration 147	 Training error: 0.0742847
Iteration 148	 Training error: 0.0712722
Iteration 149	 Training error: 0.0683598
Iteration 150	 Training error: 0.06555
Iteration 151	 Training error: 0.0628443
Iteration 152	 Training error: 0.0602435
Iteration 153	 Training error: 0.0577477
Iteration 154	 Training error: 0.0553562
Iteration 155	 Training error: 0.053068
Iteration 156	 Training error: 0.0508811
Iteration 157	 Training error: 0.0487935
Iteration 158	 Training error: 0.0468025
Iteration 159	 Training error: 0.0449053
Iteration 160	 Training error: 0.0430988
Iteration 161	 Training error: 0.0413797
Iteration 162	 Training error: 0.0397445
Iteration 163	 Training error: 0.0381899
Iteration 164	 Training error: 0.0367123
Iteration 165	 Training error: 0.0353082
Iteration 166	 Training error: 0.033974
Iteration 167	 Training error: 0.0327064
Iteration 168	 Training error: 0.031502
Iteration 169	 Training error: 0.0303576
Iteration 170	 Training error: 0.02927
Iteration 171	 Training error: 0.0282362
Iteration 172	 Training error: 0.0272534
Iteration 173	 Training error: 0.0263187
Iteration 174	 Training error: 0.0254295
Iteration 175	 Training error: 0.0245833
Iteration 176	 Training error: 0.0237777
Iteration 177	 Training error: 0.0230104
Iteration 178	 Training error: 0.0222794
Iteration 179	 Training error: 0.0215825
Iteration 180	 Training error: 0.020918
Iteration 181	 Training error: 0.0202839
Iteration 182	 Training error: 0.0196786
Iteration 183	 Training error: 0.0191006
Iteration 184	 Training error: 0.0185483
Iteration 185	 Training error: 0.0180203
Iteration 186	 Training error: 0.0175152
Iteration 187	 Training error: 0.0170319
Iteration 188	 Training error: 0.0165692
Iteration 189	 Training error: 0.016126
Iteration 190	 Training error: 0.0157011
Iteration 191	 Training error: 0.0152938
Iteration 192	 Training error: 0.014903
Iteration 193	 Training error: 0.0145279
Iteration 194	 Training error: 0.0141677
Iteration 195	 Training error: 0.0138216
Iteration 196	 Training error: 0.0134889
Iteration 197	 Training error: 0.013169
Iteration 198	 Training error: 0.0128612
Iteration 199	 Training error: 0.0125649
Iteration 200	 Training error: 0.0122796
Iteration 201	 Training error: 0.0120047
Iteration 202	 Training error: 0.0117397
Iteration 203	 Training error: 0.0114841
Iteration 204	 Training error: 0.0112376
Iteration 205	 Training error: 0.0109997
Iteration 206	 Training error: 0.01077
Iteration 207	 Training error: 0.0105481
Iteration 208	 Training error: 0.0103337
Iteration 209	 Training error: 0.0101264
Iteration 210	 Training error: 0.00992591
Iteration 211	 Training error: 0.00973198
Iteration 212	 Training error: 0.00954428
Iteration 213	 Training error: 0.00936255
Iteration 214	 Training error: 0.00918655
Iteration 215	 Training error: 0.00901602
Iteration 216	 Training error: 0.00885074
Iteration 217	 Training error: 0.00869049
Iteration 218	 Training error: 0.00853507
Iteration 219	 Training error: 0.00838428
Iteration 220	 Training error: 0.00823793
Iteration 221	 Training error: 0.00809585
Iteration 222	 Training error: 0.00795786
Iteration 223	 Training error: 0.00782382
Iteration 224	 Training error: 0.00769357
Iteration 225	 Training error: 0.00756695
Iteration 226	 Training error: 0.00744385
Iteration 227	 Training error: 0.00732411
Iteration 228	 Training error: 0.00720762
Iteration 229	 Training error: 0.00709425
Iteration 230	 Training error: 0.0069839
Iteration 231	 Training error: 0.00687646
Iteration 232	 Training error: 0.00677181
Iteration 233	 Training error: 0.00666986
Iteration 234	 Training error: 0.00657051
Iteration 235	 Training error: 0.00647368
Iteration 236	 Training error: 0.00637928
Iteration 237	 Training error: 0.00628722
Iteration 238	 Training error: 0.00619742
Iteration 239	 Training error: 0.00610981
Iteration 240	 Training error: 0.00602431
Iteration 241	 Training error: 0.00594086
Iteration 242	 Training error: 0.00585938
Iteration 243	 Training error: 0.00577982
Iteration 244	 Training error: 0.00570211
Iteration 245	 Training error: 0.00562619
Iteration 246	 Training error: 0.005552
Iteration 247	 Training error: 0.00547949
Iteration 248	 Training error: 0.00540861
Iteration 249	 Training error: 0.00533931
Iteration 250	 Training error: 0.00527153
Iteration 251	 Training error: 0.00520524
Iteration 252	 Training error: 0.00514038
Iteration 253	 Training error: 0.00507692
Iteration 254	 Training error: 0.00501481
Iteration 255	 Training error: 0.00495402
Iteration 256	 Training error: 0.00489449
Iteration 257	 Training error: 0.00483621
Iteration 258	 Training error: 0.00477912
Iteration 259	 Training error: 0.00472321
Iteration 260	 Training error: 0.00466842
Iteration 261	 Training error: 0.00461474
Iteration 262	 Training error: 0.00456213
Iteration 263	 Training error: 0.00451056
Iteration 264	 Training error: 0.00446001
Iteration 265	 Training error: 0.00441044
Iteration 266	 Training error: 0.00436183
Iteration 267	 Training error: 0.00431415
Iteration 268	 Training error: 0.00426738
Iteration 269	 Training error: 0.00422149
Iteration 270	 Training error: 0.00417646
Iteration 271	 Training error: 0.00413227
Iteration 272	 Training error: 0.0040889
Iteration 273	 Training error: 0.00404632
Iteration 274	 Training error: 0.00400452
Iteration 275	 Training error: 0.00396347
Iteration 276	 Training error: 0.00392315
Iteration 277	 Training error: 0.00388356
Iteration 278	 Training error: 0.00384466
Iteration 279	 Training error: 0.00380645
Iteration 280	 Training error: 0.0037689
Iteration 281	 Training error: 0.00373201
Iteration 282	 Training error: 0.00369574
Iteration 283	 Training error: 0.00366009
Iteration 284	 Training error: 0.00362505
Iteration 285	 Training error: 0.0035906
Iteration 286	 Training error: 0.00355672
Iteration 287	 Training error: 0.00352341
Iteration 288	 Training error: 0.00349064
Iteration 289	 Training error: 0.00345841
Iteration 290	 Training error: 0.0034267
Iteration 291	 Training error: 0.00339551
Iteration 292	 Training error: 0.00336482
Iteration 293	 Training error: 0.00333461
Iteration 294	 Training error: 0.00330488
Iteration 295	 Training error: 0.00327562
Iteration 296	 Training error: 0.00324682
Iteration 297	 Training error: 0.00321847
Iteration 298	 Training error: 0.00319055
Iteration 299	 Training error: 0.00316306
Iteration 300	 Training error: 0.00313599
Iteration 301	 Training error: 0.00310933
Iteration 302	 Training error: 0.00308307
Iteration 303	 Training error: 0.0030572
Iteration 304	 Training error: 0.00303171
Iteration 305	 Training error: 0.00300661
Iteration 306	 Training error: 0.00298187
Iteration 307	 Training error: 0.00295749
Iteration 308	 Training error: 0.00293346
Iteration 309	 Training error: 0.00290978
Iteration 310	 Training error: 0.00288644
Iteration 311	 Training error: 0.00286343
Iteration 312	 Training error: 0.00284075
Iteration 313	 Training error: 0.00281839
Iteration 314	 Training error: 0.00279633
Iteration 315	 Training error: 0.00277459
Iteration 316	 Training error: 0.00275315
Iteration 317	 Training error: 0.002732
Iteration 318	 Training error: 0.00271114
Iteration 319	 Training error: 0.00269056
Iteration 320	 Training error: 0.00267026
Iteration 321	 Training error: 0.00265023
Iteration 322	 Training error: 0.00263047
Iteration 323	 Training error: 0.00261098
Iteration 324	 Training error: 0.00259174
Iteration 325	 Training error: 0.00257275
Iteration 326	 Training error: 0.00255401
Iteration 327	 Training error: 0.00253552
Iteration 328	 Training error: 0.00251726
Iteration 329	 Training error: 0.00249924
Iteration 330	 Training error: 0.00248144
Iteration 331	 Training error: 0.00246388
Iteration 332	 Training error: 0.00244653
Iteration 333	 Training error: 0.00242941
Iteration 334	 Training error: 0.0024125
Iteration 335	 Training error: 0.0023958
Iteration 336	 Training error: 0.0023793
Iteration 337	 Training error: 0.00236301
Iteration 338	 Training error: 0.00234692
Iteration 339	 Training error: 0.00233102
Iteration 340	 Training error: 0.00231532
Iteration 341	 Training error: 0.0022998
Iteration 342	 Training error: 0.00228447
Iteration 343	 Training error: 0.00226933
Iteration 344	 Training error: 0.00225436
Iteration 345	 Training error: 0.00223957
Iteration 346	 Training error: 0.00222496
Iteration 347	 Training error: 0.00221052
Iteration 348	 Training error: 0.00219624
Iteration 349	 Training error: 0.00218213
Iteration 350	 Training error: 0.00216818
Iteration 351	 Training error: 0.00215439
Iteration 352	 Training error: 0.00214076
Iteration 353	 Training error: 0.00212729
Iteration 354	 Training error: 0.00211396
Iteration 355	 Training error: 0.00210079
Iteration 356	 Training error: 0.00208776
Iteration 357	 Training error: 0.00207488
Iteration 358	 Training error: 0.00206214
Iteration 359	 Training error: 0.00204954
Iteration 360	 Training error: 0.00203709
Iteration 361	 Training error: 0.00202476
Iteration 362	 Training error: 0.00201257
Iteration 363	 Training error: 0.00200051
Iteration 364	 Training error: 0.00198859
Iteration 365	 Training error: 0.00197679
Iteration 366	 Training error: 0.00196511
Iteration 367	 Training error: 0.00195356
Iteration 368	 Training error: 0.00194214
Iteration 369	 Training error: 0.00193083
Iteration 370	 Training error: 0.00191964
Iteration 371	 Training error: 0.00190857
Iteration 372	 Training error: 0.00189761
Iteration 373	 Training error: 0.00188677
Iteration 374	 Training error: 0.00187604
Iteration 375	 Training error: 0.00186542
Iteration 376	 Training error: 0.0018549
Iteration 377	 Training error: 0.0018445
Iteration 378	 Training error: 0.0018342
Iteration 379	 Training error: 0.001824
Iteration 380	 Training error: 0.0018139
Iteration 381	 Training error: 0.00180391
Iteration 382	 Training error: 0.00179401
Iteration 383	 Training error: 0.00178422
Iteration 384	 Training error: 0.00177452
Iteration 385	 Training error: 0.00176491
Iteration 386	 Training error: 0.0017554
Iteration 387	 Training error: 0.00174598
Iteration 388	 Training error: 0.00173666
Iteration 389	 Training error: 0.00172742
Iteration 390	 Training error: 0.00171827
Iteration 391	 Training error: 0.00170921
Iteration 392	 Training error: 0.00170024
Iteration 393	 Training error: 0.00169135
Iteration 394	 Training error: 0.00168254
Iteration 395	 Training error: 0.00167382
Iteration 396	 Training error: 0.00166518
Iteration 397	 Training error: 0.00165662
Iteration 398	 Training error: 0.00164814
Iteration 399	 Training error: 0.00163974
Iteration 400	 Training error: 0.00163141
Iteration 401	 Training error: 0.00162317
Iteration 402	 Training error: 0.00161499
Iteration 403	 Training error: 0.0016069
Iteration 404	 Training error: 0.00159887
Iteration 405	 Training error: 0.00159092
Iteration 406	 Training error: 0.00158304
Iteration 407	 Training error: 0.00157523
Iteration 408	 Training error: 0.00156749
Iteration 409	 Training error: 0.00155982
Iteration 410	 Training error: 0.00155222
Iteration 411	 Training error: 0.00154469
Iteration 412	 Training error: 0.00153722
Iteration 413	 Training error: 0.00152981
Iteration 414	 Training error: 0.00152248
Iteration 415	 Training error: 0.0015152
Iteration 416	 Training error: 0.00150799
Iteration 417	 Training error: 0.00150084
Iteration 418	 Training error: 0.00149375
Iteration 419	 Training error: 0.00148673
Iteration 420	 Training error: 0.00147976
Iteration 421	 Training error: 0.00147285
Iteration 422	 Training error: 0.001466
Iteration 423	 Training error: 0.00145921
Iteration 424	 Training error: 0.00145248
Iteration 425	 Training error: 0.0014458
Iteration 426	 Training error: 0.00143918
Iteration 427	 Training error: 0.00143261
Iteration 428	 Training error: 0.0014261
Iteration 429	 Training error: 0.00141964
We exit because the training is not improving!!
Iteration 1001	 Training error: 0.00141324
NETWORK WEIGHTS
===============
Layer 1 weights:
 Neuron 0: 1.06994 -1.10824 1.27102 
 Neuron 1: 2.92757 2.99476 -2.93593 
 Neuron 2: -0.220573 0.170186 0.00313754 
 Neuron 3: -0.1789 0.503852 -0.491822 
 Neuron 4: -0.36894 -0.241573 0.696644 
 Neuron 5: 0.915539 0.340491 0.620217 
 Neuron 6: -2.43167 2.47363 -2.52385 
 Neuron 7: -0.857561 -1.1727 0.907273 

Layer 2 weights:
 Neuron 0: 0.0122142 -0.438389 -2.55678 -0.345027 1.42643 -0.360889 0.687791 2.82482 0.805118 
 Neuron 1: -0.582013 -0.0795353 -0.658071 -0.0286319 0.882461 -0.56525 0.468538 0.583805 0.514492 
 Neuron 2: 0.061256 0.170606 -2.30529 0.0031176 0.821179 0.730079 -0.535488 2.96382 0.344186 
 Neuron 3: -0.743315 -0.848608 0.396467 0.900018 -0.126155 -0.957121 -0.883673 0.49017 -1.04626 
 Neuron 4: -1.08494 1.18606 2.62865 0.41944 -0.796363 -0.0687238 -0.754346 -1.31522 -0.612803 
 Neuron 5: 0.243472 -0.632622 -2.37771 0.0370038 0.843984 0.589227 0.467202 1.03601 0.492111 
 Neuron 6: 0.261226 -0.543356 -0.204807 -0.565617 -0.0994403 0.677181 0.748425 0.192452 -0.514971 
 Neuron 7: 0.618498 -0.155763 0.679239 0.7652 0.0142123 0.292799 0.521175 -0.741905 0.811969 

Layer 3 weights:
 Neuron 0: -1.12535 3.93375 0.714877 3.50176 0.765337 -3.76182 2.53051 0.205669 -1.78864 

Desired output Vs Obtained output (test)
=========================================
1 -- 0.964087 
0 -- 0.0383707 
1 -- 0.964032 
0 -- 0.0399654 
We end!! => Final test error: 0.00141324
**********
SEED 2
**********
Iteration 1	 Training error: 0.291985
Iteration 2	 Training error: 0.261061
Iteration 3	 Training error: 0.248589
Iteration 4	 Training error: 0.252881
Iteration 5	 Training error: 0.255876
Iteration 6	 Training error: 0.252815
Iteration 7	 Training error: 0.248962
Iteration 8	 Training error: 0.248112
Iteration 9	 Training error: 0.248954
Iteration 10	 Training error: 0.249151
Iteration 11	 Training error: 0.248428
Iteration 12	 Training error: 0.247688
Iteration 13	 Training error: 0.24738
Iteration 14	 Training error: 0.247289
Iteration 15	 Training error: 0.247154
Iteration 16	 Training error: 0.246973
Iteration 17	 Training error: 0.246828
Iteration 18	 Training error: 0.246725
Iteration 19	 Training error: 0.246607
Iteration 20	 Training error: 0.24645
Iteration 21	 Training error: 0.24627
Iteration 22	 Training error: 0.246091
Iteration 23	 Training error: 0.245919
Iteration 24	 Training error: 0.245753
Iteration 25	 Training error: 0.245588
Iteration 26	 Training error: 0.245422
Iteration 27	 Training error: 0.245254
Iteration 28	 Training error: 0.245079
Iteration 29	 Training error: 0.244897
Iteration 30	 Training error: 0.244708
Iteration 31	 Training error: 0.244512
Iteration 32	 Training error: 0.244312
Iteration 33	 Training error: 0.244108
Iteration 34	 Training error: 0.2439
Iteration 35	 Training error: 0.243686
Iteration 36	 Training error: 0.243467
Iteration 37	 Training error: 0.243241
Iteration 38	 Training error: 0.243008
Iteration 39	 Training error: 0.242768
Iteration 40	 Training error: 0.242521
Iteration 41	 Training error: 0.242266
Iteration 42	 Training error: 0.242003
Iteration 43	 Training error: 0.241733
Iteration 44	 Training error: 0.241454
Iteration 45	 Training error: 0.241167
Iteration 46	 Training error: 0.24087
Iteration 47	 Training error: 0.240564
Iteration 48	 Training error: 0.240249
Iteration 49	 Training error: 0.239922
Iteration 50	 Training error: 0.239586
Iteration 51	 Training error: 0.239238
Iteration 52	 Training error: 0.238879
Iteration 53	 Training error: 0.238508
Iteration 54	 Training error: 0.238125
Iteration 55	 Training error: 0.237728
Iteration 56	 Training error: 0.237319
Iteration 57	 Training error: 0.236896
Iteration 58	 Training error: 0.236459
Iteration 59	 Training error: 0.236007
Iteration 60	 Training error: 0.23554
Iteration 61	 Training error: 0.235057
Iteration 62	 Training error: 0.234557
Iteration 63	 Training error: 0.234041
Iteration 64	 Training error: 0.233507
Iteration 65	 Training error: 0.232955
Iteration 66	 Training error: 0.232385
Iteration 67	 Training error: 0.231795
Iteration 68	 Training error: 0.231185
Iteration 69	 Training error: 0.230555
Iteration 70	 Training error: 0.229903
Iteration 71	 Training error: 0.229229
Iteration 72	 Training error: 0.228533
Iteration 73	 Training error: 0.227813
Iteration 74	 Training error: 0.227069
Iteration 75	 Training error: 0.2263
Iteration 76	 Training error: 0.225505
Iteration 77	 Training error: 0.224684
Iteration 78	 Training error: 0.223836
Iteration 79	 Training error: 0.22296
Iteration 80	 Training error: 0.222054
Iteration 81	 Training error: 0.221119
Iteration 82	 Training error: 0.220153
Iteration 83	 Training error: 0.219155
Iteration 84	 Training error: 0.218125
Iteration 85	 Training error: 0.21706
Iteration 86	 Training error: 0.215961
Iteration 87	 Training error: 0.214826
Iteration 88	 Training error: 0.213654
Iteration 89	 Training error: 0.212444
Iteration 90	 Training error: 0.211195
Iteration 91	 Training error: 0.209905
Iteration 92	 Training error: 0.208572
Iteration 93	 Training error: 0.207197
Iteration 94	 Training error: 0.205776
Iteration 95	 Training error: 0.204309
Iteration 96	 Training error: 0.202794
Iteration 97	 Training error: 0.201229
Iteration 98	 Training error: 0.199613
Iteration 99	 Training error: 0.197943
Iteration 100	 Training error: 0.196219
Iteration 101	 Training error: 0.194437
Iteration 102	 Training error: 0.192597
Iteration 103	 Training error: 0.190695
Iteration 104	 Training error: 0.18873
Iteration 105	 Training error: 0.186701
Iteration 106	 Training error: 0.184604
Iteration 107	 Training error: 0.182438
Iteration 108	 Training error: 0.180202
Iteration 109	 Training error: 0.177893
Iteration 110	 Training error: 0.175509
Iteration 111	 Training error: 0.17305
Iteration 112	 Training error: 0.170513
Iteration 113	 Training error: 0.167899
Iteration 114	 Training error: 0.165207
Iteration 115	 Training error: 0.162437
Iteration 116	 Training error: 0.159588
Iteration 117	 Training error: 0.156663
Iteration 118	 Training error: 0.153662
Iteration 119	 Training error: 0.150588
Iteration 120	 Training error: 0.147444
Iteration 121	 Training error: 0.144233
Iteration 122	 Training error: 0.14096
Iteration 123	 Training error: 0.137631
Iteration 124	 Training error: 0.13425
Iteration 125	 Training error: 0.130824
Iteration 126	 Training error: 0.127361
Iteration 127	 Training error: 0.123869
Iteration 128	 Training error: 0.120354
Iteration 129	 Training error: 0.116827
Iteration 130	 Training error: 0.113296
Iteration 131	 Training error: 0.10977
Iteration 132	 Training error: 0.106258
Iteration 133	 Training error: 0.102769
Iteration 134	 Training error: 0.0993116
Iteration 135	 Training error: 0.0958946
Iteration 136	 Training error: 0.0925259
Iteration 137	 Training error: 0.0892132
Iteration 138	 Training error: 0.0859635
Iteration 139	 Training error: 0.0827831
Iteration 140	 Training error: 0.0796778
Iteration 141	 Training error: 0.0766526
Iteration 142	 Training error: 0.0737116
Iteration 143	 Training error: 0.0708584
Iteration 144	 Training error: 0.0680958
Iteration 145	 Training error: 0.0654258
Iteration 146	 Training error: 0.0628497
Iteration 147	 Training error: 0.0603683
Iteration 148	 Training error: 0.0579817
Iteration 149	 Training error: 0.0556893
Iteration 150	 Training error: 0.0534903
Iteration 151	 Training error: 0.0513833
Iteration 152	 Training error: 0.0493664
Iteration 153	 Training error: 0.0474377
Iteration 154	 Training error: 0.0455947
Iteration 155	 Training error: 0.0438348
Iteration 156	 Training error: 0.0421554
Iteration 157	 Training error: 0.0405536
Iteration 158	 Training error: 0.0390263
Iteration 159	 Training error: 0.0375707
Iteration 160	 Training error: 0.0361837
Iteration 161	 Training error: 0.0348624
Iteration 162	 Training error: 0.0336036
Iteration 163	 Training error: 0.0324046
Iteration 164	 Training error: 0.0312625
Iteration 165	 Training error: 0.0301745
Iteration 166	 Training error: 0.0291379
Iteration 167	 Training error: 0.0281502
Iteration 168	 Training error: 0.0272087
Iteration 169	 Training error: 0.0263113
Iteration 170	 Training error: 0.0254555
Iteration 171	 Training error: 0.0246392
Iteration 172	 Training error: 0.0238603
Iteration 173	 Training error: 0.0231169
Iteration 174	 Training error: 0.0224071
Iteration 175	 Training error: 0.021729
Iteration 176	 Training error: 0.0210811
Iteration 177	 Training error: 0.0204617
Iteration 178	 Training error: 0.0198694
Iteration 179	 Training error: 0.0193026
Iteration 180	 Training error: 0.0187601
Iteration 181	 Training error: 0.0182406
Iteration 182	 Training error: 0.0177429
Iteration 183	 Training error: 0.0172659
Iteration 184	 Training error: 0.0168085
Iteration 185	 Training error: 0.0163696
Iteration 186	 Training error: 0.0159485
Iteration 187	 Training error: 0.0155441
Iteration 188	 Training error: 0.0151556
Iteration 189	 Training error: 0.0147823
Iteration 190	 Training error: 0.0144234
Iteration 191	 Training error: 0.0140781
Iteration 192	 Training error: 0.0137459
Iteration 193	 Training error: 0.013426
Iteration 194	 Training error: 0.0131179
Iteration 195	 Training error: 0.0128211
Iteration 196	 Training error: 0.0125349
Iteration 197	 Training error: 0.012259
Iteration 198	 Training error: 0.0119928
Iteration 199	 Training error: 0.0117359
Iteration 200	 Training error: 0.0114878
Iteration 201	 Training error: 0.0112482
Iteration 202	 Training error: 0.0110167
Iteration 203	 Training error: 0.0107929
Iteration 204	 Training error: 0.0105765
Iteration 205	 Training error: 0.0103672
Iteration 206	 Training error: 0.0101646
Iteration 207	 Training error: 0.00996854
Iteration 208	 Training error: 0.00977864
Iteration 209	 Training error: 0.00959468
Iteration 210	 Training error: 0.00941641
Iteration 211	 Training error: 0.00924359
Iteration 212	 Training error: 0.00907601
Iteration 213	 Training error: 0.00891346
Iteration 214	 Training error: 0.00875573
Iteration 215	 Training error: 0.00860262
Iteration 216	 Training error: 0.00845397
Iteration 217	 Training error: 0.00830959
Iteration 218	 Training error: 0.00816932
Iteration 219	 Training error: 0.008033
Iteration 220	 Training error: 0.00790048
Iteration 221	 Training error: 0.00777163
Iteration 222	 Training error: 0.00764629
Iteration 223	 Training error: 0.00752435
Iteration 224	 Training error: 0.00740568
Iteration 225	 Training error: 0.00729016
Iteration 226	 Training error: 0.00717767
Iteration 227	 Training error: 0.00706811
Iteration 228	 Training error: 0.00696138
Iteration 229	 Training error: 0.00685737
Iteration 230	 Training error: 0.006756
Iteration 231	 Training error: 0.00665716
Iteration 232	 Training error: 0.00656078
Iteration 233	 Training error: 0.00646677
Iteration 234	 Training error: 0.00637505
Iteration 235	 Training error: 0.00628554
Iteration 236	 Training error: 0.00619818
Iteration 237	 Training error: 0.00611289
Iteration 238	 Training error: 0.0060296
Iteration 239	 Training error: 0.00594825
Iteration 240	 Training error: 0.00586878
Iteration 241	 Training error: 0.00579113
Iteration 242	 Training error: 0.00571524
Iteration 243	 Training error: 0.00564106
Iteration 244	 Training error: 0.00556853
Iteration 245	 Training error: 0.0054976
Iteration 246	 Training error: 0.00542823
Iteration 247	 Training error: 0.00536036
Iteration 248	 Training error: 0.00529395
Iteration 249	 Training error: 0.00522897
Iteration 250	 Training error: 0.00516536
Iteration 251	 Training error: 0.00510309
Iteration 252	 Training error: 0.00504211
Iteration 253	 Training error: 0.0049824
Iteration 254	 Training error: 0.00492391
Iteration 255	 Training error: 0.00486661
Iteration 256	 Training error: 0.00481046
Iteration 257	 Training error: 0.00475544
Iteration 258	 Training error: 0.00470151
Iteration 259	 Training error: 0.00464865
Iteration 260	 Training error: 0.00459682
Iteration 261	 Training error: 0.00454599
Iteration 262	 Training error: 0.00449614
Iteration 263	 Training error: 0.00444724
Iteration 264	 Training error: 0.00439927
Iteration 265	 Training error: 0.00435221
Iteration 266	 Training error: 0.00430602
Iteration 267	 Training error: 0.00426069
Iteration 268	 Training error: 0.00421619
Iteration 269	 Training error: 0.0041725
Iteration 270	 Training error: 0.00412961
Iteration 271	 Training error: 0.00408749
Iteration 272	 Training error: 0.00404612
