**********
SEED 1
**********
Iteration 1	 Training error: 0.282523
Iteration 316	 Training error: 0.00377358
Iteration 317	 Training error: 0.00375531
Iteration 318	 Training error: 0.0037372
Iteration 319	 Training error: 0.00371925
Iteration 320	 Training error: 0.00370146
Iteration 321	 Training error: 0.00368383
Iteration 322	 Training error: 0.00366634
Iteration 323	 Training error: 0.00364901
Iteration 324	 Training error: 0.00363183
Iteration 325	 Training error: 0.00361479
Iteration 326	 Training error: 0.0035979
Iteration 327	 Training error: 0.00358116
Iteration 328	 Training error: 0.00356455
Iteration 329	 Training error: 0.00354809
Iteration 330	 Training error: 0.00353176
Iteration 331	 Training error: 0.00351557
Iteration 332	 Training error: 0.00349952
Iteration 333	 Training error: 0.0034836
Iteration 334	 Training error: 0.00346782
Iteration 335	 Training error: 0.00345216
Iteration 336	 Training error: 0.00343663
Iteration 337	 Training error: 0.00342123
Iteration 338	 Training error: 0.00340596
Iteration 339	 Training error: 0.00339081
Iteration 340	 Training error: 0.00337579
Iteration 341	 Training error: 0.00336088
Iteration 342	 Training error: 0.0033461
Iteration 343	 Training error: 0.00333143
Iteration 344	 Training error: 0.00331688
Iteration 345	 Training error: 0.00330245
Iteration 346	 Training error: 0.00328813
Iteration 347	 Training error: 0.00327393
Iteration 348	 Training error: 0.00325984
Iteration 349	 Training error: 0.00324586
Iteration 350	 Training error: 0.00323199
Iteration 351	 Training error: 0.00321822
Iteration 352	 Training error: 0.00320457
Iteration 353	 Training error: 0.00319102
Iteration 354	 Training error: 0.00317757
Iteration 355	 Training error: 0.00316423
Iteration 356	 Training error: 0.003151
Iteration 357	 Training error: 0.00313786
Iteration 358	 Training error: 0.00312482
Iteration 359	 Training error: 0.00311188
Iteration 360	 Training error: 0.00309904
Iteration 361	 Training error: 0.0030863
Iteration 362	 Training error: 0.00307365
Iteration 363	 Training error: 0.0030611
Iteration 364	 Training error: 0.00304864
Iteration 365	 Training error: 0.00303628
Iteration 366	 Training error: 0.003024
Iteration 367	 Training error: 0.00301182
Iteration 368	 Training error: 0.00299973
Iteration 369	 Training error: 0.00298773
Iteration 370	 Training error: 0.00297581
Iteration 371	 Training error: 0.00296398
Iteration 372	 Training error: 0.00295224
Iteration 373	 Training error: 0.00294058
Iteration 374	 Training error: 0.00292901
Iteration 375	 Training error: 0.00291752
Iteration 376	 Training error: 0.00290611
Iteration 377	 Training error: 0.00289479
Iteration 378	 Training error: 0.00288354
Iteration 379	 Training error: 0.00287238
Iteration 380	 Training error: 0.0028613
Iteration 381	 Training error: 0.00285029
Iteration 382	 Training error: 0.00283936
Iteration 383	 Training error: 0.00282851
Iteration 384	 Training error: 0.00281773
Iteration 385	 Training error: 0.00280703
Iteration 386	 Training error: 0.00279641
Iteration 387	 Training error: 0.00278586
Iteration 388	 Training error: 0.00277538
Iteration 389	 Training error: 0.00276497
Iteration 390	 Training error: 0.00275464
Iteration 391	 Training error: 0.00274437
Iteration 392	 Training error: 0.00273418
Iteration 393	 Training error: 0.00272406
Iteration 394	 Training error: 0.002714
Iteration 395	 Training error: 0.00270401
Iteration 396	 Training error: 0.00269409
Iteration 397	 Training error: 0.00268424
Iteration 398	 Training error: 0.00267445
Iteration 399	 Training error: 0.00266473
Iteration 400	 Training error: 0.00265508
Iteration 401	 Training error: 0.00264549
Iteration 402	 Training error: 0.00263596
Iteration 403	 Training error: 0.00262649
Iteration 404	 Training error: 0.00261709
Iteration 405	 Training error: 0.00260775
Iteration 406	 Training error: 0.00259847
Iteration 407	 Training error: 0.00258925
Iteration 408	 Training error: 0.00258009
Iteration 409	 Training error: 0.002571
Iteration 410	 Training error: 0.00256196
Iteration 411	 Training error: 0.00255297
Iteration 412	 Training error: 0.00254405
Iteration 413	 Training error: 0.00253518
Iteration 414	 Training error: 0.00252638
Iteration 415	 Training error: 0.00251762
Iteration 416	 Training error: 0.00250893
Iteration 417	 Training error: 0.00250028
Iteration 418	 Training error: 0.0024917
Iteration 419	 Training error: 0.00248316
Iteration 420	 Training error: 0.00247469
Iteration 421	 Training error: 0.00246626
Iteration 422	 Training error: 0.00245789
Iteration 423	 Training error: 0.00244957
Iteration 424	 Training error: 0.0024413
Iteration 425	 Training error: 0.00243308
Iteration 426	 Training error: 0.00242491
Iteration 427	 Training error: 0.0024168
Iteration 428	 Training error: 0.00240873
Iteration 429	 Training error: 0.00240072
Iteration 430	 Training error: 0.00239275
Iteration 431	 Training error: 0.00238483
Iteration 432	 Training error: 0.00237696
Iteration 433	 Training error: 0.00236914
Iteration 434	 Training error: 0.00236136
Iteration 435	 Training error: 0.00235364
Iteration 436	 Training error: 0.00234595
Iteration 437	 Training error: 0.00233832
Iteration 438	 Training error: 0.00233073
Iteration 439	 Training error: 0.00232319
Iteration 440	 Training error: 0.00231569
Iteration 441	 Training error: 0.00230823
Iteration 442	 Training error: 0.00230082
Iteration 443	 Training error: 0.00229346
We exit because the training is not improving!!
Iteration 1001	 Training error: 0.00228614
NETWORK WEIGHTS
===============
Layer 1 weights:
 Neuron 0: 0.839997 -0.664137 0.963253 
 Neuron 1: 2.67699 2.71563 -2.56614 
 Neuron 2: -0.177821 0.339676 -0.081893 
 Neuron 3: 0.634921 0.479615 0.286622 
 Neuron 4: -1.0111 0.995988 1.35798 
 Neuron 5: 1.51118 1.38532 1.27225 
 Neuron 6: -3.02438 3.02158 -3.16457 
 Neuron 7: -2.16107 -2.20764 2.03947 

Layer 2 weights:
 Neuron 0: -0.142668 -0.764787 -4.26241 -0.293089 1.24625 -1.41683 1.59835 6.05744 3.08207 

Desired output Vs Obtained output (test)
=========================================
1 -- 0.949091 
0 -- 0.0440775 
1 -- 0.95484 
0 -- 0.0507007 
We end!! => Final test error: 0.00228614
**********
SEED 2
**********
Iteration 1	 Training error: 0.271616
Iteration 2	 Training error: 0.266576
Iteration 3	 Training error: 0.261665
Iteration 4	 Training error: 0.258872
Iteration 5	 Training error: 0.257616
Iteration 6	 Training error: 0.25653
Iteration 7	 Training error: 0.254974
Iteration 8	 Training error: 0.253141
Iteration 9	 Training error: 0.251445
Iteration 10	 Training error: 0.250064
Iteration 11	 Training error: 0.248912
Iteration 12	 Training error: 0.247845
Iteration 13	 Training error: 0.246793
Iteration 14	 Training error: 0.245766
Iteration 15	 Training error: 0.244782
Iteration 16	 Training error: 0.243837
Iteration 17	 Training error: 0.242907
Iteration 18	 Training error: 0.241973
Iteration 19	 Training error: 0.241026
Iteration 20	 Training error: 0.240066
Iteration 21	 Training error: 0.239092
Iteration 22	 Training error: 0.238102
Iteration 23	 Training error: 0.23709
Iteration 24	 Training error: 0.236053
Iteration 25	 Training error: 0.234986
Iteration 26	 Training error: 0.233887
Iteration 27	 Training error: 0.232752
Iteration 28	 Training error: 0.231578
Iteration 29	 Training error: 0.230362
Iteration 30	 Training error: 0.229101
Iteration 31	 Training error: 0.227794
Iteration 32	 Training error: 0.22644
Iteration 33	 Training error: 0.225035
Iteration 34	 Training error: 0.223578
Iteration 35	 Training error: 0.222067
Iteration 36	 Training error: 0.2205
Iteration 37	 Training error: 0.218875
Iteration 38	 Training error: 0.217191
Iteration 39	 Training error: 0.215445
Iteration 40	 Training error: 0.213637
Iteration 41	 Training error: 0.211765
Iteration 42	 Training error: 0.209828
Iteration 43	 Training error: 0.207824
Iteration 44	 Training error: 0.205753
Iteration 45	 Training error: 0.203614
Iteration 46	 Training error: 0.201405
Iteration 47	 Training error: 0.199128
Iteration 48	 Training error: 0.196781
Iteration 49	 Training error: 0.194364
Iteration 50	 Training error: 0.191878
Iteration 51	 Training error: 0.189322
Iteration 52	 Training error: 0.186697
Iteration 53	 Training error: 0.184004
Iteration 54	 Training error: 0.181245
Iteration 55	 Training error: 0.178419
Iteration 56	 Training error: 0.17553
Iteration 57	 Training error: 0.172579
Iteration 58	 Training error: 0.169568
Iteration 59	 Training error: 0.166501
Iteration 60	 Training error: 0.16338
Iteration 61	 Training error: 0.160208
Iteration 62	 Training error: 0.15699
Iteration 63	 Training error: 0.15373
Iteration 64	 Training error: 0.150431
Iteration 65	 Training error: 0.1471
Iteration 66	 Training error: 0.143742
Iteration 67	 Training error: 0.140361
Iteration 68	 Training error: 0.136965
Iteration 69	 Training error: 0.133558
Iteration 70	 Training error: 0.130147
Iteration 71	 Training error: 0.126739
Iteration 72	 Training error: 0.12334
Iteration 73	 Training error: 0.119956
Iteration 74	 Training error: 0.116594
Iteration 75	 Training error: 0.11326
Iteration 76	 Training error: 0.10996
Iteration 77	 Training error: 0.106701
Iteration 78	 Training error: 0.103487
Iteration 79	 Training error: 0.100324
Iteration 80	 Training error: 0.0972176
Iteration 81	 Training error: 0.094171
Iteration 82	 Training error: 0.0911887
Iteration 83	 Training error: 0.0882742
Iteration 84	 Training error: 0.0854306
Iteration 85	 Training error: 0.0826603
Iteration 86	 Training error: 0.0799654
Iteration 87	 Training error: 0.0773476
Iteration 88	 Training error: 0.0748079
Iteration 89	 Training error: 0.0723471
Iteration 90	 Training error: 0.0699654
Iteration 91	 Training error: 0.0676627
Iteration 92	 Training error: 0.0654386
Iteration 93	 Training error: 0.0632924
Iteration 94	 Training error: 0.061223
Iteration 95	 Training error: 0.0592292
Iteration 96	 Training error: 0.0573095
Iteration 97	 Training error: 0.0554621
Iteration 98	 Training error: 0.0536854
Iteration 99	 Training error: 0.0519774
Iteration 100	 Training error: 0.050336
Iteration 101	 Training error: 0.0487592
Iteration 102	 Training error: 0.0472449
Iteration 103	 Training error: 0.0457908
Iteration 104	 Training error: 0.0443948
Iteration 105	 Training error: 0.0430547
Iteration 106	 Training error: 0.0417684
Iteration 107	 Training error: 0.0405337
Iteration 108	 Training error: 0.0393486
Iteration 109	 Training error: 0.038211
Iteration 110	 Training error: 0.0371189
Iteration 111	 Training error: 0.0360704
Iteration 112	 Training error: 0.0350635
Iteration 113	 Training error: 0.0340965
Iteration 114	 Training error: 0.0331677
Iteration 115	 Training error: 0.0322753
Iteration 116	 Training error: 0.0314177
Iteration 117	 Training error: 0.0305933
Iteration 118	 Training error: 0.0298007
Iteration 119	 Training error: 0.0290385
Iteration 120	 Training error: 0.0283052
Iteration 121	 Training error: 0.0275996
Iteration 122	 Training error: 0.0269204
Iteration 123	 Training error: 0.0262664
Iteration 124	 Training error: 0.0256365
Iteration 125	 Training error: 0.0250296
Iteration 126	 Training error: 0.0244447
Iteration 127	 Training error: 0.0238808
Iteration 128	 Training error: 0.023337
Iteration 129	 Training error: 0.0228124
Iteration 130	 Training error: 0.0223061
Iteration 131	 Training error: 0.0218173
Iteration 132	 Training error: 0.0213454
Iteration 133	 Training error: 0.0208894
Iteration 134	 Training error: 0.0204488
Iteration 135	 Training error: 0.020023
Iteration 136	 Training error: 0.0196111
Iteration 137	 Training error: 0.0192128
Iteration 138	 Training error: 0.0188274
Iteration 139	 Training error: 0.0184543
Iteration 140	 Training error: 0.0180931
Iteration 141	 Training error: 0.0177433
Iteration 142	 Training error: 0.0174044
Iteration 143	 Training error: 0.017076
Iteration 144	 Training error: 0.0167576
Iteration 145	 Training error: 0.0164488
Iteration 146	 Training error: 0.0161493
Iteration 147	 Training error: 0.0158587
Iteration 148	 Training error: 0.0155767
Iteration 149	 Training error: 0.0153028
Iteration 150	 Training error: 0.0150369
Iteration 151	 Training error: 0.0147786
Iteration 152	 Training error: 0.0145275
Iteration 153	 Training error: 0.0142835
Iteration 154	 Training error: 0.0140463
Iteration 155	 Training error: 0.0138156
Iteration 156	 Training error: 0.0135912
Iteration 157	 Training error: 0.0133729
Iteration 158	 Training error: 0.0131604
Iteration 159	 Training error: 0.0129535
Iteration 160	 Training error: 0.0127521
Iteration 161	 Training error: 0.0125559
Iteration 162	 Training error: 0.0123647
Iteration 163	 Training error: 0.0121785
Iteration 164	 Training error: 0.0119969
Iteration 165	 Training error: 0.0118199
Iteration 166	 Training error: 0.0116473
Iteration 167	 Training error: 0.0114789
Iteration 168	 Training error: 0.0113147
Iteration 169	 Training error: 0.0111544
Iteration 170	 Training error: 0.010998
Iteration 171	 Training error: 0.0108453
Iteration 172	 Training error: 0.0106962
Iteration 173	 Training error: 0.0105505
Iteration 174	 Training error: 0.0104083
Iteration 175	 Training error: 0.0102693
Iteration 176	 Training error: 0.0101334
Iteration 177	 Training error: 0.0100007
Iteration 178	 Training error: 0.00987086
Iteration 179	 Training error: 0.00974394
Iteration 180	 Training error: 0.00961981
Iteration 181	 Training error: 0.00949839
Iteration 182	 Training error: 0.0093796
Iteration 183	 Training error: 0.00926335
Iteration 184	 Training error: 0.00914958
Iteration 185	 Training error: 0.00903822
Iteration 186	 Training error: 0.00892918
Iteration 187	 Training error: 0.00882241
Iteration 188	 Training error: 0.00871784
Iteration 189	 Training error: 0.00861541
Iteration 190	 Training error: 0.00851506
Iteration 191	 Training error: 0.00841672
Iteration 192	 Training error: 0.00832035
Iteration 193	 Training error: 0.00822589
Iteration 194	 Training error: 0.00813329
Iteration 195	 Training error: 0.00804249
Iteration 196	 Training error: 0.00795345
Iteration 197	 Training error: 0.00786613
Iteration 198	 Training error: 0.00778046
Iteration 199	 Training error: 0.00769642
Iteration 200	 Training error: 0.00761396
Iteration 201	 Training error: 0.00753304
Iteration 202	 Training error: 0.00745361
Iteration 203	 Training error: 0.00737565
Iteration 204	 Training error: 0.00729911
Iteration 205	 Training error: 0.00722395
Iteration 206	 Training error: 0.00715014
Iteration 207	 Training error: 0.00707766
Iteration 208	 Training error: 0.00700645
Iteration 209	 Training error: 0.00693651
Iteration 210	 Training error: 0.00686778
Iteration 211	 Training error: 0.00680025
Iteration 212	 Training error: 0.00673388
Iteration 213	 Training error: 0.00666864
Iteration 214	 Training error: 0.00660452
Iteration 215	 Training error: 0.00654148
Iteration 216	 Training error: 0.00647949
Iteration 217	 Training error: 0.00641854
Iteration 218	 Training error: 0.0063586
Iteration 219	 Training error: 0.00629964
Iteration 220	 Training error: 0.00624164
Iteration 221	 Training error: 0.00618458
Iteration 222	 Training error: 0.00612845
Iteration 223	 Training error: 0.00607321
Iteration 224	 Training error: 0.00601885
Iteration 225	 Training error: 0.00596535
Iteration 226	 Training error: 0.00591269
Iteration 227	 Training error: 0.00586085
Iteration 228	 Training error: 0.00580981
Iteration 229	 Training error: 0.00575956
Iteration 230	 Training error: 0.00571008
Iteration 231	 Training error: 0.00566135
Iteration 232	 Training error: 0.00561336
Iteration 233	 Training error: 0.00556609
Iteration 234	 Training error: 0.00551952
Iteration 235	 Training error: 0.00547364
Iteration 236	 Training error: 0.00542844
Iteration 237	 Training error: 0.00538391
Iteration 238	 Training error: 0.00534002
Iteration 239	 Training error: 0.00529677
Iteration 240	 Training error: 0.00525414
Iteration 241	 Training error: 0.00521212
Iteration 242	 Training error: 0.00517069
Iteration 243	 Training error: 0.00512986
Iteration 244	 Training error: 0.00508959
Iteration 245	 Training error: 0.00504989
Iteration 246	 Training error: 0.00501074
Iteration 247	 Training error: 0.00497214
Iteration 248	 Training error: 0.00493406
Iteration 249	 Training error: 0.0048965
Iteration 250	 Training error: 0.00485945
Iteration 251	 Training error: 0.0048229
Iteration 252	 Training error: 0.00478685
Iteration 253	 Training error: 0.00475127
Iteration 254	 Training error: 0.00471617
Iteration 255	 Training error: 0.00468153
Iteration 256	 Training error: 0.00464734
Iteration 257	 Training error: 0.0046136
Iteration 258	 Training error: 0.0045803
Iteration 259	 Training error: 0.00454743
Iteration 260	 Training error: 0.00451498
Iteration 261	 Training error: 0.00448295
Iteration 262	 Training error: 0.00445132
Iteration 263	 Training error: 0.0044201
Iteration 264	 Training error: 0.00438926
Iteration 265	 Training error: 0.00435881
Iteration 266	 Training error: 0.00432874
Iteration 267	 Training error: 0.00429905
Iteration 268	 Training error: 0.00426971
Iteration 269	 Training error: 0.00424074
Iteration 270	 Training error: 0.00421212
Iteration 271	 Training error: 0.00418385
Iteration 272	 Training error: 0.00415592
Iteration 273	 Training error: 0.00412832
Iteration 274	 Training error: 0.00410105
Iteration 275	 Training error: 0.00407411
Iteration 276	 Training error: 0.00404748
Iteration 277	 Training error: 0.00402117
